Nr;Nutzungsprofil;Aktiv;Notiz
1;Einzelbüro;Ja;
2;Gruppenbüro (2 bis 6 Arbeitsplätze);Ja;
3;Großraumbüro (ab 7 Arbeitsplätzen);Ja;
4;Besprechung/Sitzungszimmer/Seminar;Ja;
5;Schalterhalle;Ja;
6;Einzelhandel/Kaufhaus;Ja;
7;Einzelhandel/Kaufhaus Lebensmittel mit Kühlprodukten;Ja;
8;Klassenzimmer (Schule)/Gruppenraum (Kindergarten);Ja;
9;Hörsaal/Auditorium;Ja;
10;Bettenzimmer (Krankenhaus/Pflegeheim);Ja;
11;Hotelzimmer;Ja;
12;Kantine;Ja;
13;Restaurant;Ja;
14;Küche in Nichtwohngebäuden;Ja;
15;Küche - Vorbereitung/Lager;Ja;
16;WC und Sanitärräume in Nichtwohngebäuden;Ja;
17;Sonstige Aufenthaltsräume (Sammelzone);Ja;
18;Nebenflächen ohne Aufenthaltsräume (Sammelzone);Ja;
19;Verkehrsfläche (Flur);Ja;
20;Lager/Technik/Archiv;Ja;
21;Rechenzentrum;Ja;
22;Gewerbl./industr. Halle - schwere Arbeit (stehend);Ja;
23;Gewerbl./industr. Halle - mittelschwere Arbeit (überw. stehend);Ja;
24;Gewerbl./industr. Halle - leichte Arbeit (überw. sitzend);Ja;
25;Zuschauerbereich (Theater/Veranstaltung);Ja;
26;Theater - Foyer;Ja;
27;Bühne (Theater/Veranstaltung);Ja;
28;Messe/Kongress;Ja;
29;Ausstellung/Museum mit konservatorischen Anforderungen;Ja;
30;Bibliothek - Lesesaal;Ja;
31;Bibliothek - Freihandbereich;Ja;
32;Bibliothek - Magazin/Depot;Ja;
33;Turnhalle (ohne Zuschauerbereich);Ja;
34;Parkhaus (Büro-/Privatnutzung);Ja;
35;Parkhaus (öffentliche Nutzung);Ja;
36;Saunabereich;Ja;
37;Fitnessraum;Ja;
38;Labor;Ja;
39;Untersuchungs- und Behandlungsräume;Ja;
40;Spezialpflegebereiche;Ja;
41;Flure des allgemeinen Pflegebereichs;Ja;
42;Arztpraxen/Therapeutische Praxen;Ja;
43;Lagerhallen/Logistikhallen;Ja;
