Titel;Frage;Ebene;Metabereichtyp;Bereichtyp;Raumtyp;Objektklasse;Objekttyp;Antworttyp;Antwortoptionen;Standard Antwort;Einheit;Bedingung;Pflicht;Foto_Pflicht;HilfeText;Kluster;Reihenfolge;Activ;Fragekatalog;Autor;Version;Änderungsdatum;Min_LOD;Zielgruppe;Fototyp;HilfeMedien;Objektart
Hersteller;Hersteller (falls ablesbar)?;Objekt;;;;(Basis);;Text;;;-;immer;Nein;Nein;"Herstellername vom Typenschild. Sonst „weiß nicht"" – Foto genügt oft.";Allgemein / Identifikation;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;
Produkt;Produkt-/Typbezeichnung (falls ablesbar)?;Objekt;;;;(Basis);;Text;;;-;immer;Nein;Nein;Typ-/Produktbezeichnung vom Typenschild.;Allgemein / Identifikation;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;
Typenschild_Foto;Foto des Typenschilds;Objekt;;;;(Basis);;Foto-Upload;;;-;immer;Nein;Nein;Scharf und lesbar. Wenn keins vorhanden, überspringen.;Dokumentation / Foto;90;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;Typenschild;;
Ansch_Funktion;Funktion des Anschlusses?;Objekt;;;;(Basis);Anschluss;Einzelauswahl;"Vorlauf (VL);Rücklauf (RL);Kaltwasser;Warmwasser;Zirkulation;Ablauf/Abwasser;Gas;Sonstiges;weiß nicht";;-;immer;Ja;Nein;Bestimmt, welche Rohre zur Verknüpfung angeboten werden (z. B. VL/RL beim Heizkörper).;Struktur & Verknüpfung;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
Ansch_Rohr;An welches Rohr-Element ist der Anschluss angeschlossen?;Objekt;;;;(Basis);Anschluss;Einzelauswahl;(Rohrleitungs-Liste, nach Funktion/Gewerk gefiltert);;-;immer;Nein;Nein;Optionale Verknüpfung im Anlagenschema – Auswahl aus den angelegten Rohrleitungen.;Struktur & Verknüpfung;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Sub-Objekt
Ansch_Position;Position/Lage des Anschlusses am Objekt?;Objekt;;;;(Basis);Anschluss;Einzelauswahl;"links;rechts;unten;oben;hinten;mittig;weiß nicht";;-;immer;Nein;Nein;z. B. Heizkörper unten-rechts.;Struktur & Verknüpfung;30;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Sub-Objekt
Ansch_Hoehe;Höhe des Anschlusses von unten (cm)?;Objekt;;;;(Basis);Anschluss;Zahl;;;cm;immer;Nein;Nein;Vor allem bei Speicherstutzen relevant (Höhe über Boden/Behälterunterkante).;Struktur & Verknüpfung;40;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Sub-Objekt
Ansch_Nennweite;Nennweite des Anschlusses?;Objekt;;;;(Basis);Anschluss;Einzelauswahl;"DN10;DN15;DN20;DN25;DN32;>DN32;weiß nicht";;-;immer;Nein;Nein;;Struktur & Verknüpfung;50;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;Sub-Objekt
Ansch_Foto;Foto des Anschlusses;Objekt;;;;(Basis);Anschluss;Foto-Upload;;;-;immer;Nein;Nein;;Dokumentation / Foto;60;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;Detail;;Sub-Objekt
Einbauort;Wo ist der Heizkörper angebracht?;Objekt;;;;Heizflächen – statisch;;Einzelauswahl;"unter Fenster;an Außenwand (ohne Fenster);an Innenwand;freistehend/Nische;weiß nicht";;-;immer;Ja;Nein;Die Lage hilft, den Wärmeverlust hinter dem Heizkörper einzuschätzen. Unter dem Fenster ist der häufigste Fall.;Allgemein / Identifikation;10;Ja;Gebäudeaufnahme;MICHI;1;03.08.2026;200;Laie;-;;Objekt
