Titel;Frage;Ebene;Metabereichtyp;Bereichtyp;Raumtyp;Objektklasse;Objekttyp;Antworttyp;Antwortoptionen;Standard Antwort;Einheit;Bedingung;Pflicht;Foto_Pflicht;HilfeText;Kluster;Reihenfolge;Activ;Fragekatalog;Autor;Version;Änderungsdatum;Min_LOD;Zielgruppe;Fototyp;HilfeMedien;Objektart
R_Name;Raumname/-nummer?;Raum;;;;;;Text;;;-;immer;Ja;Nein;;Allgemein / Identifikation;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;
R_Beschreibung;Kurzbeschreibung (optional)?;Raum;;;;;;Text;;;-;immer;Nein;Nein;;Allgemein / Identifikation;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;
R_KontaktOben;Grenzt der Raum nach OBEN an?;Raum;;;;;;Einzelauswahl;"beheizter Raum;unbeheizter Dachboden;Dach/Außenluft;weiß nicht";;-;immer;Ja;Nein;Steuert, ob obere Hüllbauteile (Dach/oberste Geschossdecke) abgefragt werden. Aus dem Bereich vorbelegt.;Bauphysik – Hülle;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;
R_KontaktUnten;Grenzt der Raum nach UNTEN an?;Raum;;;;;;Einzelauswahl;"beheizter Raum;unbeheizter Keller;Erdreich;weiß nicht";;-;immer;Ja;Nein;Steuert Kellerdecke/Bodenplatte.;Bauphysik – Hülle;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;
R_Grundflaeche;Grundfläche (m²)?;Raum;;;;;;Zahl;;;m²;immer;Ja;Nein;;Geometrie & Maße (Dimensionen);10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;
R_Raumhoehe;Lichte Raumhöhe (m)?;Raum;;;;;;Zahl;;;m;immer;Ja;Nein;;Geometrie & Maße (Dimensionen);20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;
R_Umfang;Umfang / Wandlänge gesamt (m)?;Raum;;;;;;Zahl;;;m;immer;Nein;Nein;"Für die Wandflächen; optional.";Geometrie & Maße (Dimensionen);30;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;
R_AnzAussenwaende;Wie viele Außenwände hat der Raum?;Raum;;;;;;Einzelauswahl;"0;1;2;3;4;weiß nicht";;-;immer;Ja;Nein;0 = innenliegender Raum. Legt je Außenwand eine Umfassungsfläche an.;Struktur & Verknüpfung;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;
R_DeckeZuordnung;Oberes Hüllbauteil zuordnen?;Raum;;;;;;Einzelauswahl;(Bauteil-Liste Dach/oberste Geschossdecke);;-;«R_KontaktOben» ungleich beheizter Raum;Nein;Nein;;Struktur & Verknüpfung;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;
R_BodenZuordnung;Unteres Hüllbauteil zuordnen?;Raum;;;;;;Einzelauswahl;(Bauteil-Liste Kellerdecke/Bodenplatte);;-;«R_KontaktUnten» ungleich beheizter Raum;Nein;Nein;;Struktur & Verknüpfung;30;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;
R_Beheizt;Ist der Raum beheizt?;Raum;;;;;;Ja/Nein;"Ja;Nein;weiß nicht";;-;immer;Ja;Nein;Aus dem Bereich vorbelegt.;Heizung;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;-;;
R_Solltemperatur;Nutzungs-/Solltemperatur (°C)?;Raum;;;;;;Zahl;;;°C;immer;Nein;Nein;;Nutzung & Betrieb;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;
R_Belegung;Belegung / max. Personen?;Raum;;;;;;Zahl;;;-;immer;Nein;Nein;;Nutzung & Betrieb;20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;400;Fachkundig;-;;
R_Lueftungsbereich;Zu welchem Lüftungsbereich gehört der Raum?;Raum;;;;;;Einzelauswahl;(Lüftungsbereiche des Bereichs);;-;immer;Nein;Nein;"Lüftungsbereiche werden am Bereich angelegt (z. B. „LB1 Wohnen/Schlafen""). Hier nur zuordnen. Steuert die Lüftungsbilanz (Zuluft/Abluft/Überström) je Zone.";Lüftung;5;Ja;Gebäudeaufnahme;MICHI;0.1;2026-09-01;300;Fachkundig;;;
R_Foto;Raum-Übersichtsfoto;Raum;;;;;;Foto-Upload;;;-;immer;Nein;Ja;;Dokumentation / Foto;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;200;Laie;Übersicht;;
UF_Bauteiltyp;Bauteiltyp (aus Gebäude-Bauteilen)?;Raum;;;;;Umfassungsfläche;Einzelauswahl;(Außenwand-Liste AW01…);;-;immer;Ja;Nein;;Struktur & Verknüpfung;10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
UF_Orientierung;Orientierung?;Raum;;;;;Umfassungsfläche;Einzelauswahl;"Nord;Ost;Süd;West;weiß nicht";;-;immer;Ja;Nein;;Geometrie & Maße (Dimensionen);10;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
UF_Laenge;Länge der Wand (m)?;Raum;;;;;Umfassungsfläche;Zahl;;;m;immer;Ja;Nein;;Geometrie & Maße (Dimensionen);20;Ja;Gebäudeaufnahme;MICHI;0.1;2026-08-03;300;Fachkundig;-;;Sub-Objekt
