Objektklasse;Objekttyp;Objektart;Gewerk;Erlaubte_Elternklasse;Aktiv;Notiz
Heizflächen – statisch;Röhrenheizkörper;Objekt;Heizung;Raum;Ja;
Heizflächen – statisch;Gliederheizkörper;Objekt;Heizung;Raum;Ja;
Heizflächen – statisch;Plattenheizkörper;Objekt;Heizung;Raum;Ja;
Heizflächen – statisch;Badheizkörper;Objekt;Heizung;Raum;Ja;
Heizflächen – statisch;Konvektor;Objekt;Heizung;Raum;Ja;
Heizflächen – statisch;Wandheizkörper;Objekt;Heizung;Raum;Ja;
Heizflächen – Flächenheizung;Fußbodenheizung;Objekt;Heizung;Raum;Ja;
Heizflächen – Flächenheizung;Wandheizung;Objekt;Heizung;Raum;Ja;ergänzt
Heizflächen – Flächenheizung;Deckenheizung;Objekt;Heizung;Raum;Ja;ergänzt
Wärmeerzeuger;Gas-Brennwertkessel;Objekt;Heizung;"Raum;Wohnungsstation";Ja;
Wärmeerzeuger;Gas-Standardkessel;Objekt;Heizung;"Raum;Wohnungsstation";Ja;ergänzt (Standardkessel fehlten)
Wärmeerzeuger;Öl-Brennwertkessel;Objekt;Heizung;Raum;Ja;
Wärmeerzeuger;Öl-Standardkessel;Objekt;Heizung;Raum;Ja;ergänzt
Wärmeerzeuger;Wärmepumpe;Objekt;Heizung;Raum;Ja;Bauart (Luft/Sole/Wasser, Monoblock/Split) als Frage, nicht als Typ
Wärmeerzeuger;Fernwärme-Übergabestation;Objekt;Heizung;"Raum;Wohnungsstation";Ja;
Wärmeerzeuger;Biomasse-/Pelletkessel;Objekt;Heizung;Raum;Ja;
Wärmeerzeuger;BHKW;Objekt;Heizung;Raum;Ja;
Wärmeerzeuger;Elektro-Wärmeerzeuger (zentral);Objekt;Heizung;Raum;Ja;
Wärmeerzeuger;Nachtspeicherofen;Objekt;Heizung;Raum;Ja;ergänzt: dezentral, Minimalerfassung
Wärmeerzeuger;Gas-Einzelraumheizung;Objekt;Heizung;Raum;Ja;ergänzt: dezentral, minimal
Wärmeerzeuger;Elektro-Einzelraumheizung;Objekt;Heizung;Raum;Ja;ergänzt: dezentral, minimal
Wärmeerzeuger;Abgasinstallation;Sub-Objekt;Heizung;Wärmeerzeuger;Ja;Sub des Erzeugers
Wärmeerzeuger;Förderanlage;Sub-Objekt;Heizung;Wärmeerzeuger;Ja;ergänzt
Wärmeerzeuger;Pelletsilo;Sub-Objekt;Heizung;Wärmeerzeuger;Ja;ergänzt
Wärmeerzeuger;Öltank;Sub-Objekt;Heizung;Wärmeerzeuger;Ja;ergänzt
Wärmespeicher;Pufferspeicher;Objekt;Heizung;"Raum;Wohnungsstation";Ja;
Wärmespeicher;Kombispeicher;Objekt;Heizung;"Raum;Wohnungsstation";Ja;grenzt an TWW
Wärmespeicher;Opferanode;Sub-Objekt;Heizung;Wärmespeicher;Ja;ergänzt
Wärmespeicher;Entleerhahn;Sub-Objekt;Heizung;Wärmespeicher;Ja;ergänzt
Wärmespeicher;Reinigungsöffnung;Sub-Objekt;Heizung;Wärmespeicher;Ja;ergänzt
Wärmespeicher;Zusatzerzeuger (Gas/Elektro);Sub-Objekt;Heizung;Wärmespeicher;Ja;ergänzt
Wärmespeicher;Externer Wärmeübertrager;Sub-Objekt;Heizung;Wärmespeicher;Ja;ergänzt
Heizungsverteiler;Heizkreisverteiler;Objekt;Heizung;"Raum;Wohnungsstation";Ja;Fragen: Hersteller/Produkt/Drucklos/Beschriftung
Heizungsverteiler;Verteilerbalken;Sub-Objekt;Heizung;Heizkreisverteiler;Ja;
Heizungsverteiler;Hydraulische Weiche;Sub-Objekt;Heizung;Heizkreisverteiler;Ja;
Heizungsverteiler;Überlaufwanne;Sub-Objekt;Heizung;Heizkreisverteiler;Ja;
Heizungsinstallation;Rohrleitung;Objekt;Heizung;"Raum;Rohrleitung";Ja;"raumübergreifend inkl. vertikaler Läufe (Steigleitung entfällt); Fortsetzung über Wanddurchbruch + Raumliste"
